Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,18,18,18
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,31,31,31
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,575,575,575
,"Total, permit holders and their family members",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,37480,37480,37480
,Work permit holders only,,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,16032,16032,16032
,Study permit holders only,,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,15398,15398,15398
,Work and study permit holders,,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,4977,4977,4977
,Other,,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,1073,1073,1073
,"Total, non-permanent residents",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,21110,21110,21110
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,206,206,206
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,97,97,97
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,94,94,94
,"Total, permit holders and their family members",,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,20904,20904,20904
,Work permit holders only,,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,9426,9426,9426
,Study permit holders only,,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,8535,8535,8535
,Work and study permit holders,,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,1948,1948,1948
,Other,,2022-01-01QQ3,Saskatchewan,Q3,,01-01-2022,,995,995,995
,"Total, non-permanent residents",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,968,968,968
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,0,0,0
,"Total, permit holders and their family members",,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,966,966,966
,Work permit holders only,,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,730,730,730
,Study permit holders only,,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,178,178,178
,Work and study permit holders,,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,38,38,38
,Other,,2022-01-01QQ3,Yukon,Q3,,01-01-2022,,20,20,20
,"Total, non-permanent residents",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,334,334,334
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,2,2,2
,"Total, permit holders and their family members",,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,332,332,332
,Work permit holders only,,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,287,287,287
,Study permit holders only,,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,28,28,28
,Work and study permit holders,,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,10,10,10
,Other,,2022-01-01QQ3,Northwest Territories,Q3,,01-01-2022,,7,7,7
,"Total, non-permanent residents",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,67,67,67
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,0,0,0
,"Total, permit holders and their family members",,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,64,64,64
,Work permit holders only,,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,51,51,51
,Study permit holders only,,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,7,7,7
,Work and study permit holders,,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,4,4,4
,Other,,2022-01-01QQ3,Nunavat,Q3,,01-01-2022,,2,2,2
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ4,Ontario,Q4,,01-01-2022,,774625,774625,774625
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ4,Ontario,Q4,,01-01-2022,,71757,71757,71757
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,35201,35201,35201
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,672,672,672
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,1905,1905,1905
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,33979,33979,33979
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ4,Ontario,Q4,,01-01-2022,,702868,702868,702868
,Work permit holders only,Work permit holders only,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,296748,296748,296748
,Study permit holders only,Study permit holders only,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,257465,257465,257465
,Work and study permit holders,Work and study permit holders,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,123873,123873,123873
,Other,,2022-01-01QQ4,Ontario,Q4,,01-01-2022,,24782,24782,24782
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,321515,321515,321515
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,8552,8552,8552
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,4742,4742,4742
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,116,116,116
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,258,258,258
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,3436,3436,3436
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,312963,312963,312963
,Work permit holders only,Work permit holders only,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,142880,142880,142880
,Study permit holders only,Study permit holders only,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,126980,126980,126980
,Work and study permit holders,,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,30449,30449,30449
,Other,,2022-01-01QQ4,British Columbia,Q4,,01-01-2022,,12654,12654,12654
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ4,Alberta,Q4,,01-01-2022,,103834,103834,103834
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,4293,4293,4293
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,2341,2341,2341
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,46,46,46
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,111,111,111
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,1795,1795,1795
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ4,Alberta,Q4,,01-01-2022,,99541,99541,99541
,Work permit holders only,Work permit holders only,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,53945,53945,53945
,Study permit holders only,,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,33052,33052,33052
,Work and study permit holders,,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,7469,7469,7469
,Other,,2022-01-01QQ4,Alberta,Q4,,01-01-2022,,5075,5075,5075
,"Total, non-permanent residents",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,10403,10403,10403
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,59,59,59
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,32,32,32
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,1,1,1
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,20,20,20
,"Total, permit holders and their family members",,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,10344,10344,10344
,Work permit holders only,,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,3964,3964,3964
,Study permit holders only,,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,5046,5046,5046
,Work and study permit holders,,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,909,909,909
,Other,,2022-01-01QQ4,Newfoundland and Labrador,Q4,,01-01-2022,,425,425,425
,"Total, non-permanent residents",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,9012,9012,9012
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,20,20,20
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,12,12,12
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,6,6,6
,"Total, permit holders and their family members",,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,8992,8992,8992
,Work permit holders only,,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,4411,4411,4411
,Study permit holders only,,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,3696,3696,3696
,Work and study permit holders,,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,622,622,622
,Other,,2022-01-01QQ4,Prince Edward Island,Q4,,01-01-2022,,263,263,263
,"Total, non-permanent residents",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,34877,34877,34877
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,276,276,276
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,153,153,153
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,21,21,21
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,96,96,96
,"Total, permit holders and their family members",,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,34601,34601,34601
,Work permit holders only,,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,14342,14342,14342
,Study permit holders only,,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,13180,13180,13180
,Work and study permit holders,,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,5498,5498,5498
,Other,,2022-01-01QQ4,Nova Scotia,Q4,,01-01-2022,,1581,1581,1581
,"Total, non-permanent residents",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,21782,21782,21782
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,138,138,138
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,81,81,81
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,5,5,5
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,49,49,49
,"Total, permit holders and their family members",,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,21644,21644,21644
,Work permit holders only,,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,9784,9784,9784
,Study permit holders only,,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,7003,7003,7003
,Work and study permit holders,,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,3863,3863,3863
,Other,,2022-01-01QQ4,New Brunswick,Q4,,01-01-2022,,994,994,994
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ4,Quebec,Q4,,01-01-2022,,360936,360936,360936
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ4,Quebec,Q4,,01-01-2022,,106189,106189,106189
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,46873,46873,46873
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,364,364,364
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,1429,1429,1429
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2022-01-01QQ4,Quebec,Q4,,01-01-2022,,57523,57523,57523
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ4,Quebec,Q4,,01-01-2022,,254747,254747,254747
,Work permit holders only,Work permit holders only,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,140227,140227,140227
,Study permit holders only,Study permit holders only,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,64918,64918,64918
,Work and study permit holders,,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,33862,33862,33862
,Other,,2022-01-01QQ4,Quebec,Q4,,01-01-2022,,15740,15740,15740
,"Total, non-permanent residents",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,44086,44086,44086
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,1409,1409,1409
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,858,858,858
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,7,7,7
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,33,33,33
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ4,Manitoba,Q4,,01-01-2022,,511,511,511
