Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,30364,30364,30364
,"Total, permit holders and their family members","Total, permit holders and their family members",2021-01-01QQ4,Quebec,Q4,,01-01-2021,,218113,218113,218113
,Work permit holders only,Work permit holders only,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,112447,112447,112447
,Study permit holders only,Study permit holders only,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,61826,61826,61826
,Work and study permit holders,,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,30807,30807,30807
,Other,,2021-01-01QQ4,Quebec,Q4,,01-01-2021,,13033,13033,13033
,"Total, non-permanent residents",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,36658,36658,36658
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,1587,1587,1587
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,1052,1052,1052
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,6,6,6
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ4,Manitoba,Q4,,01-01-2021,,25,25,25
